,token,count
311,눈,61
312,졸라,9
313,같다,547
314,아깝다,72
315,1억,2
316,☝️☝️☝️☝️☝️☝️☝️,1
317,저녁,3
318,듯,67
319,보단,23
320,유지,17
321,식,38
322,아침,11
323,공복,1
324,꾸준하다,4
325,점심,2
326,1일,2
327,연기,204
328,흐흐,1
329,씨,196
330,한상진,1
331,식다,3
332,없이,51
333,랏,1
334,자기,87
335,커피,4
336,통증,2
337,늘다,68
338,몸,35
339,교도소,4
340,무감각,1
341,차갑다,5
342,뜨겁다,3
343,무,16
344,꿰매다,1
345,1회,5
346,이라고,71
347,말고,44
348,마취,3
349,보고,148
350,안되다,136
351,시청율,6
352,북,2
353,ㅎㅎ,85
354,2%,3
355,살다,157
356,대다,91
357,주다,83
358,나,364
359,이래서,12
360,골빈,4
361,엠넷,1
362,건가,54
363,사전투표,1
364,30,43
365,모이다,6
366,계집,14
367,이랑,112
368,2002년,1
369,서지영,1
370,전이네,1
371,스포츠카,1
372,오다,163
373,타고,8
374,18년,1
375,아이유,28
376,밭,3
377,대한민국,31
378,솔,25
379,2006년,1
380,희다,17
381,여배우,16
382,~!!!,6
383,최고,56
384,급식,6
385,멋,7
386,단아,6
387,중,113
388,정소영,3
389,~!!,10
390,모르다,190
391,입다,46
392,끄다,107
393,사나이,1
394,윤아,10
395,이쁘다,252
396,포도,1
397,충,12
398,연구원,1
399,떠들다,4
400,올리다,79
401,그리고,75
402,그렇다,348
403,바르다,9
404,홍보,17
405,비주,20
406,얼,30
407,자랑,30
408,마냥,9
409,가다,289
410,200억,1
411,모양,10
412,말투,11
413,주인공,15
414,더빙,3
415,스럽다,24
416,주연,9
417,사극,5
418,대,77
419,시청률,20
420,성우,6
421,심각하다,8
422,5.0%,1
423,꼴다,3
424,지다,167
425,장씨,1
426,2014년,2
427,~,329
428,카톡,9
429,땜,14
430,갖다,25
431,안지우,1
432,수집,1
433,사다,65
434,2016년,1
435,2018년,3
436,화사,21
437,진정하다,4
438,마마,2
439,승자,4
440,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10
441,영배,1
442,2020년,3
443,사정,4
444,중립,2
445,기어,9
446,수준,52
447,불안하다,3
448,계약금,1
449,206000달러,1
450,박아,2
451,요,164
452,34700,1
453,겨우,7
454,행복하다,73
455,!!,100
456,멋지다,54
457,20년,9
458,이루다,7
459,가정,21
460,가족,47
461,가해자,7
462,많다,274
463,묻다,12
464,지난,5
465,죽다,79
466,억울하다,17
467,그땐,3
468,부모,59
469,오늘,65
470,피해자,44
471,30년,2
472,시간,45
473,되어다,33
474,화성,1
475,피해,25
476,속이다,10
477,사건,34
478,열애,6
479,길다,10
480,째,15
481,짓,56
482,덤벼,2
483,ㅠㅠ,133
484,드럽다,23
485,남자,277
486,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
487,20,29
488,해보다,79
489,많이,126
490,살차,1
491,ㅉㅉ,79
492,??,205
493,주술사,1
494,c,5
495,21,5
496,고딩,5
497,24,1
498,먹엇을듯,1
499,발랑까졋,1
500,팔팔하다,1
501,아마,9
502,서로,31
503,반,23
504,25년,2
505,저렇게,51
506,십대,1
507,인간,75
508,성범죄자,6
509,초반,8
510,무섭다,35
511,오달수,10
512,전이면,1
513,한참,9
514,따다,50
515,콩,1
516,일을,1
517,충실하다,4
518,전이면오달수도,1
519,차다,159
520,왕,23
521,혓재,1
522,성하다,4
523,말,218
524,서다,56
525,이해,77
526,혈기,2
527,줄,63
528,양보,4
529,싸우다,13
530,하고,295
531,한결,1
532,26년,1
533,아내,26
534,만들다,77
535,힘들다,74
536,최수종,7
537,배려,10
538,님,121
539,일,143
540,비슷하다,17
541,줌,9
542,290억,1
543,동원,1
544,29,1
545,바질,1
546,이야,79
547,어쩔,18
548,오,38
549,머,48
550,발악,3
551,까지,187
552,수없이,1
553,온갖,7
554,끌리다,5
555,수단,3
556,입대,9
557,꿀꿀,1
558,:(,2
559,쿵쾅,29
560,!!!!!!,6
561,녀,62
562,2~30,1
563,꿀,11
564,ㅋㅋㅋ,237
565,온몸,3
566,위치,2
567,점,10
568,알,63
569,사귀다,61
570,새롭다,13
571,......,28
572,삶,11
573,수,70
574,양,27
575,그동안,18
576,분하다,1
577,충분하다,20
578,ㆍ,19
579,통수,4
580,도안되,1
581,아치,11
582,ㅇㅈㅎ,1
583,sns,21
584,에게,78
585,기레기,17
586,뭐,259
587,차로,1
588,명백하다,2
589,탓,19
590,가려지다,1
591,집,72
592,무조건,26
593,짜리,1
594,건강하다,21
595,가지가지,6
596,원하다,15
597,감,30
598,외식,4
599,관심,74
600,조리,2
601,이네,115
602,아무튼,6
603,다행,12
604,2천만원,1
605,ㅋㅋㅋㅋㅋ,59
606,병,13
607,넘어서다,3
608,모,37
609,꼴,59
610,이란,36
611,냥,6
612,공익,6
613,빠지다,47
614,아줌마,55
615,배,27
616,놓다,34
617,;;,46
618,;,18
619,이렇게,103
620,싫어하다,30
621,탑,17
622,이야기,24
623,젤,20
624,군대,66
625,라면서,2
626,아예,9
627,~^^,26
628,한마디,10
629,높다,18
630,안보,35
631,이유,63
632,진심,55
633,여요,1
634,가장,16
635,고소영,7
636,^^,93
637,젊다,38
638,악플달다,32
639,한혜진,39
640,안쓰럽다,8
641,빙의,1
642,기르다,8
643,본인,68
644,인생,101
645,질투,28
646,잘살다,34
647,역겹다,23
648,청년,4
649,살이,16
650,아저씨,19
651,33,2
652,상대,18
653,시집,13
654,건,83
655,38,3
656,모형,2
657,필요,16
658,뭔가,38
659,거르세,2
660,문제,99
661,세로,1
662,48,5
663,안이,1
664,동,24
665,~~~,64
666,적다,17
667,세,57
668,39,1
669,양세종,5
670,세라,1
671,ㅡㅡ,76
672,???,79
673,제일,50
674,최종훈,3
675,잘생기다,73
676,♡,36
677,명중,1
678,티,29
679,번,40
680,술수,1
681,!,198
682,탈락,3
683,부리다,6
684,나다,147
685,함부로,8
686,조롱,3
687,더욱,5
688,만큼,24
689,파급,3
690,3일,1
691,팔,6
692,어치,1
693,력,13
694,하나요,8
695,자다,211
696,12억원,1
697,40-50,1
698,매,15
699,야노,1
700,우,16
701,대로,16
702,가야,12
703,부르다,37
704,피,26
705,어후,2
706,문재인,31
707,토나오다,7
708,40,33
709,경포대,1
710,처,37
711,엄마,92
712,몰다,23
713,지지,4
714,씨방,1
715,자식,49
716,댓글,138
717,^^;;;,1
718,현빈,26
719,바람,31
720,뱃살,1
721,개극혐,4
722,반성,21
723,값못,1
724,멋있다,35
725,하악하악,1
726,흉측하다,1
727,거리,30
728,나이,127
729,튀어나오다,4
730,당신,29
731,이모,11
732,캐스팅,9
733,라,218
734,집중,9
735,ㅠㅜㅠㅜ,1
736,돌다,11
737,늙은이,2
738,쯧쯧,12
739,32%,1
740,쯧,7
741,라이,10
742,노답,9
743,다리,11
744,폐경,1
745,로맨스,9
746,별로,55
747,쓸모없다,2
748,대상,29
749,분리수거,2
750,사실,52
751,임신,44
752,이상,33
753,상,44
754,들이다,94
755,상관,29
756,43.1,1
757,보여주다,45
758,살찌다,8
759,신,31
760,이르다,42
761,45,2
762,정상,18
763,따르다,25
764,인가,66
765,홍진영,20
766,달다,39
767,그러면,6
768,이런,59
769,45억,2
770,빚,16
771,얼마,13
772,갚다,20
773,완전,48
774,몇,35
775,년,81
776,저물다,1
777,이미,35
778,인기,45
779,신기하다,7
780,내,175
781,47,2
782,무겐,1
783,kg,6
784,소멸,1
785,데,56
786,출산,7
787,누가,81
788,더럽다,45
789,정말,129
790,꼬리,6
791,짜르,2
792,기구,1
793,큰일,5
794,전정준영카톡이,1
795,이냐,81
796,4년,3
797,장윤정,16
798,딸,72
799,4억,1
800,비정하다,1
801,에게는,5
802,껌값,1
803,일텐데,8
804,52,5
805,날씬하다,4
806,앙,6
807,딱,57
808,키로,8
809,강한나,5
810,테러,1
811,님들,7
812,퍼,7
813,추하다,9
814,보임,29
815,어떻다,99
816,축하,68
817,53,3
818,아빠,34
819,곽부성,1
820,건지다,38
821,거기,28
822,누구,82
823,5,12
824,관계,25
825,명,61
826,휴,42
827,매니저,22
828,놈,91
829,먼지,6
830,털다,7
831,안습,3
832,낙인,3
833,폭로,4
834,신상털기,1
835,쌩까다,1
836,60만원,2
837,5억,2
838,14,4
839,면티,2
840,60,6
841,120,1
842,흠,12
843,68%,1
844,곱다,6
845,모음,2
846,하라,10
847,가르치다,7
848,한테,171
849,혼자,54
850,참다,13
851,ㅋㅋㅋㅋㅋㅋㅋㅋ,21
852,거가,2
853,강,22
854,이서,10
855,6,13
856,지고,7
857,피다,14
858,기다리다,31
859,그깟,1
860,별,49
861,전부,25
862,저,243
863,벌다,43
864,론데,3
865,문희준,8
866,그나마,15
867,비보,2
868,올해,13
869,6월,2
870,내려오다,2
871,박일,4
872,31일,1
873,전미선,2
874,몇번,6
875,죠,26
876,7월,1
877,29일,1
878,연예계,22
879,국제,4
880,답,32
881,노려보다,2
882,일본,34
883,ㅎㄷㄷ,8
884,37%,1
885,남성,8
886,분들,38
887,75%,1
888,어른,8
889,아직도,41
890,김종민,6
891,이미지,50
892,79년,1
893,좋아하다,90
894,생,16
895,초딩,6
896,하하,8
897,캐릭터,16
898,82년,1
899,생김지영이는,1
900,...?,14
901,김지영,2
902,쓰레기,53
903,82,3
904,저런,80
905,영화,42
906,대일을,1
907,90년,1
908,꺼내다,8
909,웨,1
910,확인,16
911,잠,13
912,주말,19
913,양치,2
914,죄송,1
915,ㅜㅜ,72
916,나라,55
917,새,32
918,어린이,1
919,배우,116
920,9,9
921,드리다,40
922,지금,115
923,드라마,185
924,대세배우,2
925,여태껏,1
926,동거,3
927,에요,9
928,눈화장,2
929,변하다,23
930,색,8
931,톤,3
932,달라지다,8
933,연하다,2
934,가수,47
935,애매하다,5
936,b,4
937,급,64
938,박명,1
939,edm,2
940,천재,7
941,멤버,40
942,쇼지,1
943,맨,10
944,원,63
945,ft,1
946,이홍기,3
947,아일랜드,1
948,쓸모,3
949,나머지,10
950,팬,92
951,죽이다,34
952,hot,4
953,극성,3
954,재앙,42
955,jtbc,6
956,좌빨,9
957,방송,142
958,문,66
959,하나,135
960,기대,21
961,본적,9
962,tvn,4
963,3년,9
964,연습생,7
965,jyp,7
966,꿀잼,5
967,노잼,51
968,극,26
969,황금,6
970,빛,17
971,씩,14
972,발연기,15
973,이건,33
974,kbs,10
975,인가요,29
976,상준,1
977,그닥,8
978,시창,1
979,이동국,2
980,률,3
981,안녕하다,3
982,이영자,11
983,차라리,24
984,주지,2
985,m,3
986,pf,1
987,종사,2
988,전문가,3
989,&,2
990,금융업,1
991,처음,33
992,직업,15
993,?^^,2
994,억,15
995,란,7
996,a,2
997,다시,77
998,mbc,6
999,운동,15
1000,이지,101
1001,마녀사냥,9
1002,항해,1
1003,야하다,48
1004,youtoo,1
1005,죽,23
1006,metoo,1
1007,얼다,11
1008,japan,1
1009,!!!,71
1010,no,4
1011,새다,9
1012,조개,5
1013,ooo,25
1014,징,5
1015,웃기다,47
1016,개,146
1017,촐싹대다,1
1018,조,39
1019,태콩,1
1020,ㅈㄴ,29
1021,ㅈㄹ,14
1022,지키다,17
1023,배현진,1
1024,방송국,14
1025,나로,1
1026,잃다,12
1027,려고,8
1028,류,5
1029,다한,4
1030,지르다,6
1031,맘충,4
1032,좌파,13
1033,퇴사,5
1034,꾸다,17
1035,업다,12
1036,소명,1
1037,소신,2
1038,뉴스,27
1039,친,11
1040,과동,1
1041,설립,2
1042,새삼,2
1043,모임,2
1044,뒷방,1
1045,서,145
1046,싸다,34
1047,1분,1
1048,걸리다,35
1049,빤쯔흘리는뇬들,1
1050,증,3
1051,뇬,6
1052,에는,42
1053,연예인,167
1054,흘리다,9
1055,침,3
1056,혐오,3
1057,라면,23
1058,옆,18
1059,표정,22
1060,찡그리다,1
1061,이라서,9
1062,sbs,4
1063,연예가중계,1
1064,쓸다,42
1065,$,1
1066,se,1
1067,sea,1
1068,$hoo,1
1069,eugene,1
1070,당하다,51
1071,반전,7
1072,핍박,1
1073,여기,57
1074,활동,42
1075,열심히,36
1076,끝나다,47
1077,sm,9
1078,항상,53
1079,밝혀지다,14
1080,무죄,8
1081,만들어지다,4
1082,걸,93
1083,아무리,39
1084,이렇다,132
1085,당,28
1086,조선,7
1087,연,68
1088,트곡,1
1089,훅,3
1090,띄다,3
1091,tv,7
1092,비,32
1093,행사,4
1094,차원,5
1095,제발,75
1096,????,16
1097,룰,1
1098,다르다,38
1099,우려,8
1100,방법,9
1101,범죄,18
1102,메세지,1
1103,다야,6
1104,표현,14
1105,저딴,2
1106,x,11
1107,인지도,11
1108,너,112
1109,매력,46
1110,1/20,1
1111,워,15
1112,xx,4
1113,이라는,32
1114,그런데,13
1115,인물,15
1116,클럽,6
1117,해주다,129
1118,엇,7
1119,관련,9
1120,리도,4
1121,출하,2
1122,법,18
1123,드나들다,3
1124,추천,10
1125,퇴,15
1126,승리,39
1127,잇다,40
1128,얼쩡거리다,1
1129,어쩌,11
1130,부활,3
1131,컴백,12
1132,빅뱅,14
1133,yg,22
1134,제국,2
1135,밟다,8
1136,날,18
1137,대박나다,8
1138,위너,5
1139,블핑,3
1140,빌보드,3
1141,아이콘,4
1142,잘나가다,21
1143,독보,8
1144,블랙,6
1145,걸그룹,14
1146,핑크,8
1147,흥,12
1148,이라도,38
1149,톱,2
1150,싫다,127
1151,보기,104
1152,나와라,19
1153,쉐키들,1
1154,그만,92
1155,장원영,1
1156,니까,45
1157,유나,2
1158,은애,7
1159,쩔다,11
1160,가치,2
1161,17,5
1162,존나,24
1163,안유진,2
1164,아이즈,13
1165,늙다,45
1166,aoa,3
1167,아이돌,47
1168,itzy,1
1169,쓰다,97
1170,bts,6
1171,터지다,25
1172,짱,23
1173,실제,21
1174,저걸,7
1175,겠다,27
1176,cg,2
1177,신인,14
1178,노래,73
1179,그룹,16
1180,실망,24
1181,기대하다,15
1182,페이크,1
1183,만일,1
1184,떠나다,21
1185,뮤비,3
1186,과연,10
1187,러브,8
1188,오글거리다,8
1189,dna,1
1190,입사,1
1191,ebs,1
1192,에서는,21
1193,욕,117
1194,때리다,21
1195,장난,29
1196,행진,1
1197,아나운서,20
1198,fm,1
1199,god,2
1200,박준형,2
1201,밀다,16
1202,부터,131
1203,모든,30
1204,구내식당,1
1205,회사,21
1206,엉망,4
1207,개한민국,1
1208,일베충,3
1209,life,1
1210,베충,1
1211,말아먹다,7
1212,진창,2
1213,주제,12
1214,개돼지,27
1215,*,2
1216,섭외,15
1217,심,15
1218,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
1219,일반,11
1220,인들,32
1221,돼지,31
1222,반칙,2
1223,mc,8
1224,칭찬,8
1225,몽,6
1226,쟁이,25
1227,메달,2
1228,약,35
1229,정당성,1
1230,핑계,7
1231,어이없다,8
1232,전세계,3
1233,대기,3
1234,비비다,5
1235,의욕,1
1236,빨다,27
1237,oecd,1
1238,임금,2
1239,거론,3
1240,일상,10
1241,선진국,2
1242,열애인정,1
1243,천명훈,3
1244,****,1
1245,하차,52
1246,시키다,90
1247,sun,1
1248,불쌍하다,62
1249,또,145
1250,키우다,37
1251,튠,1
1252,ubd,1
1253,ㅆㄹㄱ,4
1254,안마,1
1255,제이,2
1256,먹튀,3
1257,주식,2
1258,k,3
1259,고재,3
1260,y,2
1261,선생,5
1262,근,12
1263,여기저기,9
1264,수도,20
1265,치,8
1266,소속사,35
1267,기분,22
1268,잠잠하다,5
1269,지만,25
1270,확실하다,23
1271,이사,2
1272,바닥,5
1273,커지다,3
1274,음악,25
1275,케이팝,2
1276,영원하다,11
1277,pop,1
1278,옛,3
1279,순간,14
1280,부끄럽다,16
1281,공,18
1282,느낌,57
1283,오그라들다,1
1284,쉰,4
1285,떠오르다,6
1286,ㅅ,14
1287,전혀,18
1288,나서다,14
1289,독특하다,1
1290,보이지,4
1291,설리,29
1292,오지,33
1293,’,5
1294,ㄷㄷ,30
1295,산이,20
1296,72%,1
1297,‘,5
1298,향,4
1299,쉴드,6
1300,성별,8
1301,노무현,9
1302,꼰대들,3
1303,특징,9
1304,약하다,11
1305,원래,28
1306,●,2
1307,다니다,53
1308,버티고,2
1309,뭐라다,33
1310,참고,9
1311,~~,190
1312,:,23
1313,일로,4
1314,그만하다,23
1315,생활,24
1316,괴롭히다,9
1317,홍상수,7
1318,예쁘다,147
1319,김민희,8
1320,국민,41
1321,전라도,28
1322,ㅈ,22
1323,조용필,2
1324,아이,54
1325,돼다,125
1326,~~!!!!,1
1327,★,2
1328,!!!!,19
1329,마,19
1330,으,20
1331,고향이,1
1332,속보,1
1333,빨갱이,5
1334,카이,2
1335,다녀오다,7
1336,죄인,5
1337,정용화,8
1338,박지성,1
1339,오빠,31
1340,김연아,4
1341,윤,3
1342,태어나다,13
1343,외,7
1344,라도,37
1345,절,6
1346,총경,3
1347,골프,6
1348,♥,10
1349,운영,2
1350,분리,1
1351,영업정지,1
1352,동향,1
1353,♨,3
1354,시즌,21
1355,아무,30
1356,결국,39
1357,하나경,5
1358,그렇게,77
1359,충격,6
1360,강은비,4
1361,ㄱㅣ,1
1362,이딴,17
1363,사,54
1364,경원,1
1365,실화,9
1366,미모,27
1367,ㄴㅏ,1
1368,ㄴ,15
1369,ㄹㅇ,8
1370,관종,12
1371,슬슬,8
1372,ㅁㅊ,2
1373,핵폭발,1
1374,쏘다,3
1375,ㅅㄹ,1
1376,메,16
1377,제목,26
1378,갈다,53
1379,뽑다,8
1380,ㅅㅂ,3
1381,저러다,44
1382,꼰대,4
1383,저렇다,20
1384,ㅈㅅ,2
1385,그것,24
1386,ㅅㅅ,4
1387,언제,39
1388,궁합,3
1389,무시,14
1390,^~^,1
1391,팜므파탈,1
1392,♡♡,12
1393,^~~^,1
1394,나래,9
1395,이영애,5
1396,거의,18
1397,ㅆ,6
1398,성과,2
1399,자연미,1
1400,감히,6
1401,ㅇㄴ,2
1402,ㄹㅏㄹ,2
1403,씨뱅,1
1404,마약,39
1405,무안줫다,1
1406,존,4
1407,성추행,12
1408,헤드라인,1
1409,생글,1
1410,시전,2
1411,ㅋㅋㅋㅋㅋㅋㅋ,27
1412,비꼬기,1
1413,ㅇㅅㅇ,2
1414,친하다,17
1415,일이,30
1416,ㅇㄴㅇ,1
1417,맴버중,1
1418,던지다,5
1419,비호감,36
1420,ㅇㅏ,2
1421,직,4
1422,자꾸,46
1423,기다,47
1424,예능,66
1425,ㅇㅣ,1
1426,아즘마,1
1427,깝치더,1
1428,관종임,1
1429,조용하다,41
1430,질소,1
1431,정보,7
1432,사하나,1
1433,경찰,14
1434,ㅇ,8
1435,자살,31
1436,곧,24
1437,넣다,19
1438,라인,17
1439,작위,3
1440,빨리,22
1441,죄,69
1442,깜방,4
1443,사기,21
1444,절도,1
1445,똑같다,37
1446,병들다,1
1447,미워하다,4
1448,하루,8
1449,본성,5
1450,안내,3
1451,염병,4
1452,재산,7
1453,머리,56
1454,굳다,4
1455,1조,2
1456,다가,13
1457,천,9
1458,꼬시,4
1459,프로그램,40
1460,버리다,59
1461,옘병,1
1462,따위,7
1463,믿다,76
1464,ㅈㅇ,2
1465,이별,4
1466,구먼,3
1467,제대로,32
1468,뿌리,5
1469,족보,1
1470,친가,1
1471,걱정,33
1472,후진국,4
1473,하여간,15
1474,남탓,5
1475,가망,1
1476,예,28
1477,평생,29
1478,개인,26
1479,거지,32
1480,예민하다,8
1481,굳이,30
1482,ㅉㅉㅉ,20
1483,시기,19
1484,여행,16
1485,충전,2
1486,만나다,97
1487,ㅊㅈ,1
1488,짘,4
1489,210,1
1490,km,1
1491,스티커,1
1492,병원,12
1493,왠만하다,6
1494,발부,2
1495,박명수,15
1496,욕먹다,35
1497,테,6
1498,로마,2
1499,시,47
1500,주작,12
1501,미루다,3
1502,선강,2
1503,언,25
1504,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7
1505,적어도,5
1506,분량,6
1507,까진,7
1508,션,5
1509,샤인,2
1510,미스터,2
1511,역시,107
1512,방영,3
1513,4회,1
1514,친구,34
1515,도와주다,8
1516,신입,3
1517,스타,19
1518,같이,93
1519,스브스,5
1520,넌,25
1521,개다,17
1522,두,85
1523,이형,8
1524,놀다,27
1525,연기자,22
1526,작가,31
1527,개꿀,2
1528,소설,6
1529,톡방,3
1530,쫄리겠,1
1531,첫,12
1532,선처,6
1533,단,34
1534,글,60
1535,베뎃,1
1536,보통,10
1537,붙이다,12
1538,0,5
1539,140,2
1540,암튼,14
1541,진흙탕,1
1542,지네,6
1543,김새론,3
1544,ㅇㅈㄹㅋㅋ,1
1545,영,20
1546,영계,1
1547,사촌형,3
1548,다데,1
1549,입하,1
1550,41,1
1551,후전,1
1552,킬러,1
1553,애쓰다,7
1554,쉬다,44
1555,쇼,19
1556,~?,3
1557,인도,2
1558,난리,51
1559,다니엘,16
1560,맹목,1
1561,으로만,9
1562,빠순이,12
1563,쉴드치다,3
1564,피우다,6
1565,실체,4
1566,따로,5
1567,개꼬시,1
1568,여전하다,11
1569,ㅌㅋㅋ,1
1570,훈훈거려,1
1571,끼리,19
1572,마당,2
1573,공소,1
1574,시효,2
1575,무엇,11
1576,좀비,3
1577,다시다,8
1578,퀄리티,4
1579,뭐임,5
1580,접다,6
1581,밥,27
1582,편하다,24
1583,산다,18
1584,정신병,9
1585,정신과상담,1
1586,젝키,10
1587,이후,17
1588,합류,3
1589,궁금하다,34
1590,계약,6
1591,결말,8
1592,짜다,30
1593,투어,5
1594,츄,2
1595,해맑드,1
1596,불체,1
1597,쉐리,1
1598,보내다,32
1599,태국,10
1600,몰려오다,13
1601,우르르,1
1602,시작,25
1603,과학,4
1604,백,25
1605,네이버,14
1606,축구,8
1607,겹,5
1608,타이밍,3
1609,배차,1
1610,위,42
1611,도안,8
1612,엇네,1
1613,헤어졋으,1
1614,대박,25
1615,코미디,2
1616,ㅂ,4
1617,며,12
1618,티비,48
1619,ㅋㅋㅋㅋㅅ,1
1620,개그,7
1621,개그맨,11
1622,하자,18
1623,광수,3
1624,헤어지다,28
1625,돌아오다,18
1626,나혼자산다,15
1627,소,15
1628,민우,1
1629,전,96
1630,들어주다,7
1631,김종국,15
1632,물,37
1633,정존,1
1634,천사,9
1635,가져가다,1
1636,50,12
1637,혜자,1
1638,25,6
1639,퍼센트,1
1640,티비조선,1
1641,옷,29
1642,근데,148
1643,맨날,26
1644,춤,5
1645,섹시하다,7
1646,현아,27
1647,ㅋㅋㅋㅋㅋㅋ,37
1648,불편하다,36
1649,신분,10
1650,사기꾼,10
1651,느긋하다,1
1652,휴가,5
1653,대통령,16
1654,넼,3
1655,면허증,1
1656,말로,6
1657,앞,69
1658,들리다,8
1659,븐,1
1660,더러,1
1661,상장폐지,1
1662,한서희,6
1663,여차하면,2
1664,",,,",18
1665,열폭,19
1666,진짴,2
1667,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
