tweet	class
""" yall niggas b cuffing hoes cause yall aint never have bitches """	1
""" you dodge a bullet "" &#128517; &#8220;: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;"	1
""" young Pill Chamberlain these bitches love my music """	1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;: Teanna Trump probably cleaner than most of these twitter hoes but........."""	1
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;: Gay niggas couldn't wait to act like bitches tonight"""	1
"""&#128514;&#128514;&#128514;: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT :  He a bitch you should do it"""	1
"""&amp; he's gone always be a hoe"""	1
"""...Son of a bitch took my Tic Tacs."" I like this movie."	1
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"	1
""": I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet"	1
""": I'm a fucking fag they said"""	1
""": Females think dating a pussy is cute now? "" how does doing this stuff make him a pussy?"	1
""": -SimplyAddictedToGuys "" woof woof hot scally lad"	2
""": Have ya ever asked your bitch for other bitches - kanye voice"" Yes"	1
""": How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!"	1
""": "" woof woof and hot soles"	2
""": Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"	2
""":   bitch fuck u "" maybe you'll get better. Just "	1
""": Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"	1
""": Why the eggplant emoji doe?""y he say she looked like scream lmao"	2
""": Hennessey Venom GT &#128584; "" that's one sexy bitch"	1
""": Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"	1
""": #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""	1
""": Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life "" "	1
""": baby monkey bathtime "" Awwwwe! This is soooo ADORABLE!"	2
""": &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol"	1
""": u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"	1
""":  "" 0 rings 0 mvps 0 bitches lol"	1
""": ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""	1
""": The facts on tattoos...tattoo "" he's a pussy with not tattooing them nipples"	1
""": &#128175;&#128175;&#128175; RT  Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches.."	1
""": Get worshiping bitch! "" woof woof"	1
""": Wow. RT  I'm lost. Are those buttcheek piercings? "" yeah she's a hoe"	1
""": Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"	1
""":   queer"" gaywad"	0
""":  faggot read my tweets after dat k"" it wasn't even funny lol"	1
""": This bitch was so ungrateful "" fr ..... LULWHORE"	1
""": I been kidnapped yo bitch"""	1
""":  alsarabsss"" hes a beaner smh you can tell hes a mexican"	0
""":  happy birthday nigs"" Thanks yo"	1
""": when ur teacher tells u that u have homework "" this bitch need to go!!!"	1
""": "":  that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. "	1
""": What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""	1
""": Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"	1
""": Going back to school sucks more dick than the hoes who attend it."""	1
""": On my way to fuck yo bitch "" me as a 9 year old"	1
""":  how come you never bring me food"" i dont have a car retard"	1
""": If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"	1
""": How bout them Cowboys!!!!"" Shutup pussy"	1
""": LMAOOOOOOOOOOO this nigga  "" &lt;bitch want likes for some depressing shit..foh"	1
""":  girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"	1
""": Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"	1
""": Harlem shake is just an excuse to go full retard for 30 seconds."""	1
""": amen miley &#128591; ""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"	1
""": having one loyal female is wayyyyy better than having hoes , idc &#128175;"""	1
""": Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; #8221;"""""""" &#128533;"	1
""": Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"	1
""": What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"	1
""":  im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow"	1
""":  you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway "	0
""": The fuck be wrong with these bitches?"" Nobody knows"	1
""": Yall shut up:p"" make me bitch"	1
""": I hate a ""I'm pregnant"" type of bitch."""	1
""": Got bitches in the DM but I don't ever read'em"" which is y your top 3"	1
""": Baseball season for the win. #Yankees"" This is where the love started"	2
""": Little stupid as bitch I don't fuck with yoooooouuuu.."""	1
""": she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"	1
""": I'm an early bird and I'm a night owl, so I'm wise and have worms."""	2
""": Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."	2
""": Pit Bulls Photographed As Lovely Fairy Tale Creatures #8221; They *are* fairy tale creatures."	2
""":  Aw."" ...fag, don't tweet ""aw"" to me lol"	1
""": As long as the Lakers trash from now on, I could careless. And that's real."". CC:  hahaha"	2
""":  I didn't say anything tho"" kiss me then faggot"	1
""": this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut "" &#128514; yup"	2
""": I could go for a fat ass bitch on my lap"" same"	1
""": 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"	1
""": Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;"	1
""": &#8220;: 3 | Amo los pies #8221;"" fuck yeah"	1
""": These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh"	1
""": Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;"	1
""": Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"	1
""": I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"	1
""": If she kiss u with her eyes open watch that bitch!""lmfao"	1
""": You a woulda coulda shoulda ass hoe &#128563;&#128586;"""	1
""": Happy Bday Bitch Ass Nigga ""preciate that bitch roll up!"	1
""":   used to send that bitch up"""	1
""": Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;"""	1
""":  nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"	1
""": Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""	1
""": This isn't ghetto.....it's smart "" I'm doing this idc"	2
""": I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"	1
""": Being single isn't an excuse to be a hoe."" "	1
""": White boy power bitch"" black power bitch"	1
""": Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."	1
""":  bitch where u been"" Around the world and back. Where you been?"	1
""":  if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by  *"	1
""": #oomf is soooo cute. But he probably has hoes on him a lot."""	1
""": In every cartoon theirs alway a  saving these hoes lmao. "" lmao damn captain SaveAHoe"	1
""": Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking "" hot sox and legs"	2
""": I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do"	1
""": If you dressed up as a cat for Halloween you are basic."" ...or a pussy"	1
""": Can pornhub just get a gaming stream feature so these dumb bitches can gtfo""  get on it Katie&lt;3"	1
""": stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH"	1
""":  ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"	1
""":  Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"	1
""": You're not a man if you refer to every girl as a bitch"""	1
""": Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"	1
""": Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"	2
""":  io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"	1
""":  naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"	1
""": Ol dirty foot ass bitches.."" this was too funny to me."	1
""":  that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY"	1
""": Don't got time for bitches to be actin iffy."""	1
""" #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"	2
""": These hoes ain't loyal ; no they ain't "" Smfh &amp; wonder why nobody decent wants them"	1
""": Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"	1
""": dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;"	1
""": shut yo bitch ass up! "" &#128557;&#128514;"	1
""": Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""	1
""": You love these hoes more then money wats wrong these niggas"""	1
""": A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"	1
""": Easy cum, easy hoe"" That's a fact !"	1
""": Charlie Sheen is too real "" major fucking respect for Charlie Sheen."	1
""": Wish I had a bae &#128533;"" You got all the hoes tho"	1
""": Fuck twerking bitch can you cook ?"""	1
""":  bitch wtf"" "	1
""": &#8220;: "": Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now"	1
""": Lmao fucking snake bitches"" @ em"	1
""": Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;"	1
""": Stay tuned to  for an update on the report that  1B  will be out 8-10 weeks""  #bum"	2
""": &#8220;: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut #8221; yes lmfao"""	2
""": Oregon chokes every year get off the field trash ass program"" RFT"	1
""": Def not cowboy lol RT : Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"	1
""": LMFAOOOO I HATE BLACK PEOPLE "" This is why there's black people and niggers"	0
""":   How could u do this to me bitch"" potent"	1
""": "" a pissed lad past out. I would lick his dirty soles while he slept."	2
""": "" love frat boy w/ soft long soles"	2
""": "" sexy lad with hot soles and arches."	2
""":  nah fam I gotta cheat with the hoes"" depends on the female i feel"	1
""":  &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol"	2
""": This new twitter is confusing the shit out of me."" Go back to south america bitch"	1
""": Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"	1
""": but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!"	1
""": bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*"	1
""": I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody."	1
""": 10 birds your grandkids may never see, thanks to climate change  "" #Climate"	2
""": ""Stay beautiful you bitch"""""	1
""": #WutKinda r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"	1
""": Money getting taller and bitches getting blurry"""	1
""": I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;"	1
""": Kobe stay talking trash. But let's not forget ""  I meant to do this one. Smh."	1
""": ""At least I'm not a nigger"" "" Lmfao"	0
""": People always asking me what I'm mixed with."" She a bad asian bitch lol"	1
""":  Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"	0
""": &#8220;: Fosters home for imaginary trash&#8221; WHOA CHILL"" that show was everything tf"	2
""": I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"	1
""": &#8220;: Stop bringing weird niggers into my mentions! &#8221; """	1
""": We don't love these hoes &#128080;&#128581;"""	1
""": If yo girl cant have homeboys you a ol weak bitch ass nigga!"""	1
""":  I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""	1
""": Quote this tweet with your favorite animal.""pussy"	1
""": I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""	1
""": Andrewbryant: Poff has double vision after 2 beers Poff: ... Double pussy &#128526;"" smh"	1
""": When bitches TWERK on the computer.... ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;"""""	1
""": &#8220;: &#8220;:  Prince, THIS is art. #8221; nobody takin his bitch!"	1
""": 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""	2
""": These bitches don't care they just play that role."""	1
""": It took a while for you to find me, but I was hiding In the lime tree.""  dis bitch in da wrong tree bro."	1
""": Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes "" ....dudes a fag"	0
""":  inna di ghetto!!!"" You alone lmaoo"	2
""": &#8220;:   hoes Austin&#8221; teach us Austin.""I teach u how to get curved? That's all I know"	2
""": bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"	1
""": Fat hoes get chose"" lol"	1
""": #hoesaintloyal"" well they're hoes,no one expects them to be loyal"	1
""":   ol bitch ass"" "	1
""": Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"	1
""": Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"	1
""" : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory"" Me: *rolls on the floor, laughing*"	1
""": ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"	1
""": @ One of your followers with this &#128525;&#128553; "" @ somebody, bitch if you don't"	1
""": If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"	1
""": These catfish hoes thinkin they slick.. But niggas catching on &#128524;"""	1
""": Can't worry about a bitch that ain't worried bout me"" #real"	1
""": Side hoes are for insecure niggas that can't handle a real one."""	1
""": &#128514;&#128514;&#128514;&#128514;RT : Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;"	1
""": My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;"""	1
""": i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;"	1
""": Dese hoes be LYIN to all of us nigga"""	1
""": "" oh yeah fuck that bitch"	1
""": Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"	2
""": USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; "" he's a bitch"	2
""": Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"	1
""": Chilling &#128069;&#8482; "" sexy scally lad"	2
""": I ain't sharing no bitch if you mines you mines &#128175;"""	1
""": money only impress the simple broke bitches"""	1
""": #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"	1
""":   tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;"	2
""":   I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;"	2
""": These hoes is crazy"""	1
""": You ain't ever gonna be a slice bitch."" Kevin hart. (:"	1
""": Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch."	1
""": I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"	1
""": #NewSATQuestions Yeah bitch, yeah bitch, call me _______: a.) Maybe b.) Steve-O c.) Later d.) Jesse Pinkman"" "	1
""": Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"	1
""": Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."	1
""":   y'all come through the front.""bitch I ain't coming"	1
""":  faggot bitch"" "	1
""":  yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ""i work 2-5"	1
""": "" this scally lad would get it"	2
""": #GerrysHalloweenParty "" Halloween was yesterday stupid nigger"	0
""": Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* "	1
""": &#8220;: I love eating pussy lol I never get full lol&#8221; I can eat that shit forever lol"" and ever."	1
""": &#8220;: "": &#8220;: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;&#8221;them hoes taste like meds""&#127815;&#127815;&#127868;"	1
""": &#8220;: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;"	1
""": BOBBY BITCH-by  be getting me live as fuck"" hell yea i play that hoe before my workout"	1
""": Yo bitch is Gucci Mane RT  : My bitch a stoner &#128175;&#128175; ""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;"	1
""": I can ride your bitch with no handle bars"""	1
""": And if you ain't a hoe get up out my traphoussseeeee"""	1
""": 15 sad TV character deaths we're still bitter over...  ""ned stark was the man"	2
""": These harbor bitches are all ""Party Bus hoes"""" Lol all?"	1
""":  pussy"" love it"	1
""": Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey "" bitchy promo"	1
""": On my way to fuck your bitch "" LMFAO KITTYCOPTER"	1
""": A smuggler explains how he helped fighters along the ""Jihadi Highway"": """	2
""": "": Aww their avis look so cute together &#128145; "" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?"	1
""": "": Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"	1
""": whys this bitch boosting herself "" Her size isn't exactly the most healthy tho"	1
""":  bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!"	1
""": Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"	1
""": I'm making marack my girlfriend .""  aye b you pullin hoes just like o taught you"	1
""": Bruno fag boy"" you love me."	1
""": &#8220;: I must be a bitch&#8221; you are &#128514;&#128514;&#128514; sike naw"" This why we always beefing &#128514;"	1
""": Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"	2
""": &#8220;: Don't take advantage of a nice person&#8221;@ hoes""@ everyjuan"	1
""": Happy birthday bitch nigga "" Thanks pal"	1
""": Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"	1
""":  cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"	1
""":  ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"	1
""": I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."	1
""" My pussy still fresh"" &lt;----- something stank girls say."	1
""": Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"	1
""":   yeah Texans are so much better you fucking retard"" I see that you're mad about this."	1
""": Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"	1
""": There's a lane some bitches need to stay in &#128526;"" the left n get right the fuck outta our face &#128557;&#128129;&#128536;"	1
""": I hate when boys deny that they have bitches &#128080;&#128553;"" smh"	1
""": Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"	1
""": Im a boss ass bitch"" ...that needs to sit in a corner"	1
""": He's a hoe , I can't"""	1
""": Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &#128665;&#128168;&#128168;""oooh shit bitches betta stay out da streets"	1
""": bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;"""	1
""": why do my friends hate me"" because you a ratchet hoe.."	1
""": No love for these fuck niggas"" hoes*"	1
""": Hot meat "" sexy as fuck scally lad. I would love to meet him and his trainers."	1
""": Sniff "" perved up scally lad. fuck yeah."	1
""": These bitches love Sosa"""	1
""": &#8220;: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh"	1
""": What should I name my cat, ideas?"" Mr pussy"	1
""": "" woof woof. Sexy thug boy scally."	1
""":  u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me"	1
""": Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"	1
""": 10 sex positions  ""naw this what u call fucking the soul outta bitch &#128557;"	1
""":  is bored supposed to be cute, you faggot?"" Sometimes"	0
""": One mans trash &#128686; is another mans treasure &#127942;"""	2
""": I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"	1
""":  lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"	0
""": god teeth , gold chain white bitches , cocaine"""	1
""": Its me hoe, its me hoe&#128129;"" shhhhh"	1
""": In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."	1
""": I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"	1
""": hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &#128293;&#128293;&#128293;"" ON. MY. SOUL!"	1
""": Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt;  "" hahaha"	2
""":  yall both gimped up??"" Ain't tht a bitch huh lol"	1
""": "": Take me for a ride &#128525;&#128139; ""#redneck"" woof woof"	2
""": oh my god I love Victoria Mitchell"" all my bitches love me"	1
""": That long distance shit wack I knew the bitch was cheating""- uh oh"	1
""": HE'S DOING IT RIGHT &#128525;&#128120;&#128158; "" no bitches smh"	1
""": they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""	1
""": Roses are red and violets are blue and niggers are black, you know that's true."" "	1
""": Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" "	2
""": But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"	1
""": a video an entire media will likely mock. "" i am such a crybaby"	2
""":   I'm not even shy stfu"" kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*"	1
""": Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;"	1
""": Karma is a bitch #Damn #GodProtectsHisAngels &#128588;"" *sips tea*"	1
""": Fuckin hot gym pussy "" fuck yeah"	1
""": Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport """	2
""": You can call me Fireman cause I turn the hoes on."""	1
""": I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"	1
""": Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"	1
""": And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"	1
""": tweety bird tho &#128514;&#128514;&#128514;&#128514;"""	2
""": my pussy sweet like watermelon "" Thotermelon"	1
""": When twitter rappers dm me their trash links """	2
""": loud bitches annoy me"""	1
""": Eventually every bitch turns into that hoe."" # Truuu"	1
""": "": "": I swear if oomf try talking to me tomorrow.."" @"" "" pussy"	1
""": You bitches be pretending to be TF crazy.."" You ain't never lied..."	1
""":  k bye hoe"" um bye .."	1
""": Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"	0
""": ima keep on giving these pussy ass niggas ah reason to hate !"""	1
""": Photo: "" he is in sole heaven"	2
""": Stacey Dash won &#128166; "" baddest bitch evaaaa"	0
""": Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;"	1
""": Facts what baldheaded bitch made this shit. &#128074;&#128074;&#128555;&#128530; "" Lmao &#128553;&#128514;"	1
""": Fuck wit us and then we tweakin hoe"" shmurda!"	1
""": We actin like it's the 7th day  "" &#128123;spook"	2
""": I'll break that lil bitch neck and won't even feel sorry about it"" Savage"	1
""": This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex "" love me some kinky scallies"	1
""": Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."	1
""": I can turn yo bitch into a eaterrrrrrrrr"""	1
""": I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"	1
""": &#8220;: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard"	1
""": Now u got what u want bitch ! Enjoy it "" now this is a crazy party I would love to attend."	1
""": colored contacts in your eyes? blinders on mine. cause i can't see you at all."" Lmao"	2
""": Facts "": Only the dudes with hoes say they don't got hoes&#8221;"" "	1
""": I'm rea start smacking bitches period !"" Bluffin at its best"	1
""": Lifes a bitch, and then you die Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"	1
""": One of us is on drugs, and its me but you're still wrong &#128514; "" hahahahahahah im a bitch sometimes (:"	1
""": I'm feeling pretty fuckin ghetto"" Smh"	1
""": "": "": "":  swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"	2
""": This is a true ride or die bitch &#128175; "" what the fuck hahahahah"	1
""": H.G.Wells and Charlie Chaplin "" #History #Photography"	2
